warehouse_id,sku_id,total_ordered,total_shipped,fill_rate
WH_A,SKU0001,123,106,0.8617886178861789
WH_A,SKU0002,114,106,0.9298245614035088
WH_A,SKU0003,108,108,1.0
WH_A,SKU0004,121,102,0.8429752066115702
WH_A,SKU0005,116,96,0.8275862068965517
WH_A,SKU0006,177,154,0.8700564971751412
WH_A,SKU0007,131,120,0.916030534351145
WH_A,SKU0008,139,119,0.8561151079136691
WH_A,SKU0009,123,109,0.8861788617886179
WH_A,SKU0010,93,79,0.8494623655913979
WH_A,SKU0011,95,95,1.0
WH_A,SKU0012,150,146,0.9733333333333334
WH_A,SKU0013,161,142,0.8819875776397516
WH_A,SKU0014,100,85,0.85
WH_A,SKU0015,100,85,0.85
WH_A,SKU0016,138,114,0.8260869565217391
WH_A,SKU0017,120,112,0.9333333333333333
WH_A,SKU0018,123,104,0.8455284552845529
WH_A,SKU0019,168,145,0.8630952380952381
WH_A,SKU0020,180,153,0.85
WH_A,SKU0021,193,170,0.8808290155440415
WH_A,SKU0022,144,128,0.8888888888888888
WH_A,SKU0023,174,155,0.8908045977011494
WH_A,SKU0024,165,149,0.9030303030303031
WH_A,SKU0025,89,80,0.898876404494382
WH_A,SKU0026,121,104,0.859504132231405
WH_A,SKU0027,131,122,0.9312977099236641
WH_A,SKU0028,133,121,0.9097744360902256
WH_A,SKU0029,105,95,0.9047619047619048
WH_A,SKU0030,189,183,0.9682539682539683
WH_A,SKU0031,95,83,0.8736842105263158
WH_A,SKU0032,121,97,0.8016528925619835
WH_A,SKU0033,67,64,0.9552238805970149
WH_A,SKU0034,136,124,0.9117647058823529
WH_A,SKU0035,156,132,0.8461538461538461
WH_A,SKU0036,151,144,0.9536423841059603
WH_A,SKU0037,145,110,0.7586206896551724
WH_A,SKU0038,133,116,0.8721804511278195
WH_A,SKU0039,153,130,0.8496732026143791
WH_A,SKU0040,110,103,0.9363636363636364
WH_A,SKU0041,111,92,0.8288288288288288
WH_A,SKU0042,140,128,0.9142857142857143
WH_A,SKU0043,185,146,0.7891891891891892
WH_A,SKU0044,101,95,0.9405940594059405
WH_A,SKU0045,141,128,0.9078014184397163
WH_A,SKU0046,169,144,0.8520710059171598
WH_A,SKU0047,84,79,0.9404761904761905
WH_A,SKU0048,138,106,0.7681159420289855
WH_A,SKU0049,182,145,0.7967032967032966
WH_A,SKU0050,188,159,0.8457446808510638
WH_A,SKU0051,117,104,0.8888888888888888
WH_A,SKU0052,141,125,0.8865248226950354
