warehouse_id,sku_id,stockout_days,total_days,stockout_rate
WH_A,SKU0001,53,60,0.8833333333333333
WH_A,SKU0002,52,60,0.8666666666666667
WH_A,SKU0003,47,60,0.7833333333333333
WH_A,SKU0004,46,60,0.7666666666666667
WH_A,SKU0005,52,60,0.8666666666666667
WH_A,SKU0006,50,60,0.8333333333333334
WH_A,SKU0007,44,60,0.7333333333333333
WH_A,SKU0008,54,60,0.9
WH_A,SKU0009,47,60,0.7833333333333333
WH_A,SKU0010,49,60,0.8166666666666667
WH_A,SKU0011,55,60,0.9166666666666666
WH_A,SKU0012,54,60,0.9
WH_A,SKU0013,53,60,0.8833333333333333
WH_A,SKU0014,51,60,0.85
WH_A,SKU0015,52,60,0.8666666666666667
WH_A,SKU0016,50,60,0.8333333333333334
WH_A,SKU0017,50,60,0.8333333333333334
WH_A,SKU0018,46,60,0.7666666666666667
WH_A,SKU0019,49,60,0.8166666666666667
WH_A,SKU0020,48,60,0.8
WH_A,SKU0021,51,60,0.85
WH_A,SKU0022,51,60,0.85
WH_A,SKU0023,46,60,0.7666666666666667
WH_A,SKU0024,55,60,0.9166666666666666
WH_A,SKU0025,50,60,0.8333333333333334
WH_A,SKU0026,49,60,0.8166666666666667
WH_A,SKU0027,53,60,0.8833333333333333
WH_A,SKU0028,50,60,0.8333333333333334
WH_A,SKU0029,50,60,0.8333333333333334
WH_A,SKU0030,55,60,0.9166666666666666
WH_A,SKU0031,47,60,0.7833333333333333
WH_A,SKU0032,46,60,0.7666666666666667
WH_A,SKU0033,49,60,0.8166666666666667
WH_A,SKU0034,51,60,0.85
WH_A,SKU0035,55,60,0.9166666666666666
WH_A,SKU0036,56,60,0.9333333333333333
WH_A,SKU0037,50,60,0.8333333333333334
WH_A,SKU0038,54,60,0.9
WH_A,SKU0039,55,60,0.9166666666666666
WH_A,SKU0040,52,60,0.8666666666666667
WH_A,SKU0041,51,60,0.85
WH_A,SKU0042,53,60,0.8833333333333333
WH_A,SKU0043,52,60,0.8666666666666667
WH_A,SKU0044,51,60,0.85
WH_A,SKU0045,47,60,0.7833333333333333
WH_A,SKU0046,48,60,0.8
WH_A,SKU0047,55,60,0.9166666666666666
WH_A,SKU0048,48,60,0.8
WH_A,SKU0049,52,60,0.8666666666666667
WH_A,SKU0050,52,60,0.8666666666666667
WH_A,SKU0051,53,60,0.8833333333333333
WH_A,SKU0052,52,60,0.8666666666666667
WH_A,SKU0053,45,60,0.75
WH_A,SKU0054,47,60,0.7833333333333333
WH_A,SKU0055,45,60,0.75
WH_A,SKU0056,50,60,0.8333333333333334
WH_A,SKU0057,51,60,0.85
WH_A,SKU0058,51,60,0.85
WH_A,SKU0059,48,60,0.8
WH_A,SKU0060,54,60,0.9
WH_A,SKU0061,50,60,0.8333333333333334
WH_A,SKU0062,52,60,0.8666666666666667
WH_A,SKU0063,50,60,0.8333333333333334
WH_A,SKU0064,49,60,0.8166666666666667
WH_A,SKU0065,50,60,0.8333333333333334
WH_A,SKU0066,53,60,0.8833333333333333
WH_A,SKU0067,55,60,0.9166666666666666
WH_A,SKU0068,49,60,0.8166666666666667
WH_A,SKU0069,51,60,0.85
WH_A,SKU0070,47,60,0.7833333333333333
WH_A,SKU0071,41,60,0.6833333333333333
WH_A,SKU0072,56,60,0.9333333333333333
WH_A,SKU0073,50,60,0.8333333333333334
WH_A,SKU0074,48,60,0.8
WH_A,SKU0075,52,60,0.8666666666666667
WH_A,SKU0076,50,60,0.8333333333333334
WH_A,SKU0077,50,60,0.8333333333333334
WH_A,SKU0078,48,60,0.8
WH_A,SKU0079,53,60,0.8833333333333333
WH_A,SKU0080,51,60,0.85
WH_A,SKU0081,54,60,0.9
WH_A,SKU0082,51,60,0.85
WH_A,SKU0083,55,60,0.9166666666666666
WH_A,SKU0084,53,60,0.8833333333333333
WH_A,SKU0085,44,60,0.7333333333333333
WH_A,SKU0086,55,60,0.9166666666666666
WH_A,SKU0087,48,60,0.8
WH_A,SKU0088,50,60,0.8333333333333334
WH_A,SKU0089,54,60,0.9
WH_A,SKU0090,53,60,0.8833333333333333
WH_A,SKU0091,51,60,0.85
WH_A,SKU0092,52,60,0.8666666666666667
WH_A,SKU0093,56,60,0.9333333333333333
WH_A,SKU0094,53,60,0.8833333333333333
WH_A,SKU0095,53,60,0.8833333333333333
WH_A,SKU0096,48,60,0.8
WH_A,SKU0097,51,60,0.85
WH_A,SKU0098,44,60,0.7333333333333333
WH_A,SKU0099,54,60,0.9
WH_A,SKU0100,50,60,0.8333333333333334
WH_B,SKU0001,51,60,0.85
WH_B,SKU0002,53,60,0.8833333333333333
WH_B,SKU0003,42,60,0.7
WH_B,SKU0004,52,60,0.8666666666666667
WH_B,SKU0005,53,60,0.8833333333333333
WH_B,SKU0006,53,60,0.8833333333333333
WH_B,SKU0007,52,60,0.8666666666666667
WH_B,SKU0008,51,60,0.85
WH_B,SKU0009,48,60,0.8
WH_B,SKU0010,52,60,0.8666666666666667
WH_B,SKU0011,52,60,0.8666666666666667
WH_B,SKU0012,48,60,0.8
WH_B,SKU0013,46,60,0.7666666666666667
WH_B,SKU0014,49,60,0.8166666666666667
WH_B,SKU0015,50,60,0.8333333333333334
WH_B,SKU0016,52,60,0.8666666666666667
WH_B,SKU0017,49,60,0.8166666666666667
WH_B,SKU0018,52,60,0.8666666666666667
WH_B,SKU0019,49,60,0.8166666666666667
WH_B,SKU0020,50,60,0.8333333333333334
WH_B,SKU0021,53,60,0.8833333333333333
WH_B,SKU0022,50,60,0.8333333333333334
WH_B,SKU0023,49,60,0.8166666666666667
WH_B,SKU0024,54,60,0.9
WH_B,SKU0025,50,60,0.8333333333333334
WH_B,SKU0026,51,60,0.85
WH_B,SKU0027,46,60,0.7666666666666667
WH_B,SKU0028,51,60,0.85
WH_B,SKU0029,53,60,0.8833333333333333
WH_B,SKU0030,53,60,0.8833333333333333
WH_B,SKU0031,54,60,0.9
WH_B,SKU0032,42,60,0.7
WH_B,SKU0033,51,60,0.85
WH_B,SKU0034,53,60,0.8833333333333333
WH_B,SKU0035,47,60,0.7833333333333333
WH_B,SKU0036,54,60,0.9
WH_B,SKU0037,52,60,0.8666666666666667
WH_B,SKU0038,50,60,0.8333333333333334
WH_B,SKU0039,50,60,0.8333333333333334
WH_B,SKU0040,53,60,0.8833333333333333
WH_B,SKU0041,53,60,0.8833333333333333
WH_B,SKU0042,50,60,0.8333333333333334
WH_B,SKU0043,44,60,0.7333333333333333
WH_B,SKU0044,49,60,0.8166666666666667
WH_B,SKU0045,56,60,0.9333333333333333
WH_B,SKU0046,52,60,0.8666666666666667
WH_B,SKU0047,53,60,0.8833333333333333
WH_B,SKU0048,52,60,0.8666666666666667
WH_B,SKU0049,50,60,0.8333333333333334
WH_B,SKU0050,50,60,0.8333333333333334
WH_B,SKU0051,52,60,0.8666666666666667
WH_B,SKU0052,49,60,0.8166666666666667
WH_B,SKU0053,46,60,0.7666666666666667
WH_B,SKU0054,49,60,0.8166666666666667
WH_B,SKU0055,51,60,0.85
WH_B,SKU0056,48,60,0.8
WH_B,SKU0057,45,60,0.75
WH_B,SKU0058,49,60,0.8166666666666667
WH_B,SKU0059,53,60,0.8833333333333333
WH_B,SKU0060,50,60,0.8333333333333334
WH_B,SKU0061,52,60,0.8666666666666667
WH_B,SKU0062,47,60,0.7833333333333333
WH_B,SKU0063,46,60,0.7666666666666667
WH_B,SKU0064,49,60,0.8166666666666667
WH_B,SKU0065,52,60,0.8666666666666667
WH_B,SKU0066,51,60,0.85
WH_B,SKU0067,52,60,0.8666666666666667
WH_B,SKU0068,47,60,0.7833333333333333
WH_B,SKU0069,53,60,0.8833333333333333
WH_B,SKU0070,49,60,0.8166666666666667
WH_B,SKU0071,54,60,0.9
WH_B,SKU0072,54,60,0.9
WH_B,SKU0073,47,60,0.7833333333333333
WH_B,SKU0074,52,60,0.8666666666666667
