date,warehouse_id,region,sku_id,category,on_hand,backorder,reorder_point,reorder_qty
2025-01-01,WH_A,East,SKU0001,Housewares,26,2,22,117
2025-01-01,WH_A,East,SKU0002,Electronics,226,6,32,112
2025-01-01,WH_A,East,SKU0003,Hardware,147,2,22,67
2025-01-01,WH_A,East,SKU0004,Hardware,199,4,25,88
2025-01-01,WH_A,East,SKU0005,Sports,15,4,31,94
2025-01-01,WH_A,East,SKU0006,Sports,60,2,47,43
2025-01-01,WH_A,East,SKU0007,Office,182,0,34,111
2025-01-01,WH_A,East,SKU0008,Electronics,191,1,27,49
2025-01-01,WH_A,East,SKU0009,Hardware,150,3,25,99
2025-01-01,WH_A,East,SKU0010,Electronics,207,0,15,106
2025-01-01,WH_A,East,SKU0011,Hardware,157,2,46,32
2025-01-01,WH_A,East,SKU0012,Housewares,48,0,38,69
2025-01-01,WH_A,East,SKU0013,Electronics,107,3,18,60
2025-01-01,WH_A,East,SKU0014,Electronics,219,3,20,40
2025-01-01,WH_A,East,SKU0015,Housewares,137,2,19,98
2025-01-01,WH_A,East,SKU0016,Housewares,45,6,23,114
2025-01-01,WH_A,East,SKU0017,Hardware,197,0,50,51
2025-01-01,WH_A,East,SKU0018,Housewares,95,0,48,107
2025-01-01,WH_A,East,SKU0019,Sports,130,0,28,99
2025-01-01,WH_A,East,SKU0020,Electronics,261,3,27,69
2025-01-01,WH_A,East,SKU0021,Sports,129,3,38,86
2025-01-01,WH_A,East,SKU0022,Sports,150,2,43,45
2025-01-01,WH_A,East,SKU0023,Hardware,101,1,29,38
2025-01-01,WH_A,East,SKU0024,Electronics,143,5,16,105
2025-01-01,WH_A,East,SKU0025,Office,164,0,29,105
2025-01-01,WH_A,East,SKU0026,Hardware,109,2,15,39
2025-01-01,WH_A,East,SKU0027,Electronics,246,4,18,59
2025-01-01,WH_A,East,SKU0028,Electronics,62,4,17,72
2025-01-01,WH_A,East,SKU0029,Sports,29,2,47,60
2025-01-01,WH_A,East,SKU0030,Housewares,94,4,46,57
2025-01-01,WH_A,East,SKU0031,Sports,153,2,23,103
2025-01-01,WH_A,East,SKU0032,Sports,155,0,45,61
2025-01-01,WH_A,East,SKU0033,Housewares,149,5,41,54
2025-01-01,WH_A,East,SKU0034,Office,43,5,21,114
2025-01-01,WH_A,East,SKU0035,Hardware,185,1,37,84
2025-01-01,WH_A,East,SKU0036,Housewares,128,6,44,36
2025-01-01,WH_A,East,SKU0037,Sports,191,6,21,37
2025-01-01,WH_A,East,SKU0038,Housewares,96,4,36,43
2025-01-01,WH_A,East,SKU0039,Office,83,2,27,54
2025-01-01,WH_A,East,SKU0040,Housewares,157,0,43,47
2025-01-01,WH_A,East,SKU0041,Sports,125,3,26,65
2025-01-01,WH_A,East,SKU0042,Electronics,207,1,30,39
