shipment_id,order_id,sku_id,warehouse_id,region,ship_date,delivery_date,lead_time_days,qty_shipped,on_time
500000,100000,SKU0095,WH_A,East,2025-01-01,2025-01-06,5,3,0
500001,100000,SKU0095,WH_A,East,2025-01-02,2025-01-03,2,3,1
500002,100001,SKU0032,WH_B,Central,2025-01-01,2025-01-02,1,1,1
500003,100002,SKU0060,WH_C,West,2025-01-03,2025-01-05,4,4,1
500004,100003,SKU0068,WH_A,East,2025-01-01,2025-01-04,3,8,1
500005,100004,SKU0066,WH_B,Central,2025-01-05,2025-01-08,7,1,1
500006,100005,SKU0050,WH_B,Central,2025-01-01,2025-01-05,4,3,0
500007,100006,SKU0090,WH_B,Central,2025-01-02,2025-01-03,2,1,1
500008,100007,SKU0003,WH_A,East,2025-01-04,2025-01-09,8,1,0
500009,100008,SKU0066,WH_B,Central,2025-01-02,2025-01-04,3,1,1
500010,100009,SKU0084,WH_B,Central,2025-01-01,2025-01-05,4,3,0
500011,100010,SKU0018,WH_A,East,2025-01-01,2025-01-03,2,2,1
500012,100010,SKU0018,WH_A,East,2025-01-01,2025-01-02,1,1,1
500013,100011,SKU0097,WH_B,Central,2025-01-05,2025-01-07,6,1,1
500014,100012,SKU0062,WH_C,West,2025-01-03,2025-01-07,6,5,0
500015,100013,SKU0100,WH_C,West,2025-01-05,2025-01-12,11,1,0
500016,100013,SKU0100,WH_C,West,2025-01-01,2025-01-07,6,0,0
500017,100014,SKU0031,WH_C,West,2025-01-01,2025-01-03,2,8,1
500018,100014,SKU0031,WH_C,West,2025-01-03,2025-01-08,7,2,0
500019,100015,SKU0040,WH_A,East,2025-01-02,2025-01-04,3,1,1
500020,100016,SKU0077,WH_B,Central,2025-01-02,2025-01-04,3,1,1
500021,100017,SKU0049,WH_B,Central,2025-01-02,2025-01-06,5,7,0
500022,100018,SKU0019,WH_B,Central,2025-01-03,2025-01-04,3,4,1
500023,100019,SKU0044,WH_C,West,2025-01-02,2025-01-03,2,1,1
500024,100020,SKU0053,WH_A,East,2025-01-02,2025-01-03,2,5,1
500025,100021,SKU0091,WH_C,West,2025-01-03,2025-01-05,4,1,1
500026,100022,SKU0077,WH_B,Central,2025-01-01,2025-01-04,3,1,1
500027,100023,SKU0080,WH_A,East,2025-01-01,2025-01-03,2,1,1
500028,100023,SKU0080,WH_A,East,2025-01-02,2025-01-04,3,1,1
500029,100024,SKU0002,WH_A,East,2025-01-01,2025-01-03,2,3,1
500030,100025,SKU0075,WH_B,Central,2025-01-01,2025-01-04,3,1,1
500031,100026,SKU0031,WH_C,West,2025-01-01,2025-01-03,2,1,1
500032,100027,SKU0052,WH_A,East,2025-01-02,2025-01-08,7,1,0
500033,100028,SKU0062,WH_B,Central,2025-01-01,2025-01-06,5,2,0
500034,100029,SKU0037,WH_C,West,2025-01-01,2025-01-05,4,1,0
500035,100030,SKU0057,WH_B,Central,2025-01-01,2025-01-08,7,1,0
500036,100031,SKU0078,WH_A,East,2025-01-03,2025-01-04,3,1,1
500037,100031,SKU0078,WH_A,East,2025-01-01,2025-01-03,2,1,1
500038,100032,SKU0030,WH_C,West,2025-01-02,2025-01-04,3,1,1
500039,100033,SKU0081,WH_C,West,2025-01-01,2025-01-04,3,1,1
500040,100034,SKU0097,WH_B,Central,2025-01-01,2025-01-02,1,4,1
500041,100035,SKU0029,WH_A,East,2025-01-01,2025-01-02,1,1,1
500042,100036,SKU0066,WH_B,Central,2025-01-01,2025-01-04,3,2,1
500043,100037,SKU0005,WH_B,Central,2025-01-03,2025-01-04,3,1,1
500044,100038,SKU0004,WH_A,East,2025-01-01,2025-01-02,1,2,1
500045,100038,SKU0004,WH_A,East,2025-01-04,2025-01-06,5,1,1
500046,100039,SKU0018,WH_B,Central,2025-01-02,2025-01-04,3,1,1
500047,100040,SKU0025,WH_A,East,2025-01-01,2025-01-02,1,4,1
500048,100041,SKU0051,WH_B,Central,2025-01-02,2025-01-07,6,1,0
500049,100042,SKU0092,WH_C,West,2025-01-01,2025-01-03,2,7,1
500050,100043,SKU0059,WH_C,West,2025-01-02,2025-01-04,3,1,1
500051,100044,SKU0036,WH_C,West,2025-01-02,2025-01-03,2,1,1
500052,100045,SKU0033,WH_A,East,2025-01-02,2025-01-03,2,3,1
500053,100046,SKU0036,WH_B,Central,2025-01-02,2025-01-03,2,3,1
500054,100047,SKU0062,WH_B,Central,2025-01-01,2025-01-02,1,4,1
500055,100048,SKU0004,WH_A,East,2025-01-03,2025-01-04,3,1,1
500056,100049,SKU0017,WH_A,East,2025-01-01,2025-01-02,1,6,1
500057,100050,SKU0009,WH_C,West,2025-01-01,2025-01-03,2,1,1
500058,100051,SKU0014,WH_A,East,2025-01-02,2025-01-09,8,1,0
500059,100052,SKU0095,WH_C,West,2025-01-04,2025-01-05,4,1,1
500060,100053,SKU0013,WH_A,East,2025-01-01,2025-01-03,2,3,1
500061,100054,SKU0046,WH_B,Central,2025-01-03,2025-01-05,4,5,1
500062,100055,SKU0027,WH_C,West,2025-01-02,2025-01-05,4,1,1
500063,100056,SKU0047,WH_B,Central,2025-01-01,2025-01-03,2,1,1
500064,100057,SKU0098,WH_A,East,2025-01-01,2025-01-03,2,1,1
500065,100057,SKU0098,WH_A,East,2025-01-01,2025-01-03,2,3,1
500066,100058,SKU0082,WH_B,Central,2025-01-01,2025-01-05,4,2,0
500067,100059,SKU0082,WH_C,West,2025-01-03,2025-01-08,7,1,0
500068,100060,SKU0085,WH_C,West,2025-01-01,2025-01-02,1,1,1
500069,100061,SKU0020,WH_A,East,2025-01-01,2025-01-04,3,11,1
500070,100062,SKU0024,WH_A,East,2025-01-01,2025-01-02,1,1,1
500071,100063,SKU0094,WH_B,Central,2025-01-01,2025-01-03,2,1,1
500072,100064,SKU0091,WH_A,East,2025-01-01,2025-01-07,6,8,0
500073,100065,SKU0056,WH_A,East,2025-01-02,2025-01-03,2,7,1
500074,100066,SKU0033,WH_B,Central,2025-01-01,2025-01-02,1,1,1
500075,100067,SKU0038,WH_B,Central,2025-01-01,2025-01-02,1,4,1
500076,100068,SKU0083,WH_C,West,2025-01-02,2025-01-05,4,5,1
500077,100069,SKU0018,WH_B,Central,2025-01-01,2025-01-03,2,3,1
500078,100070,SKU0084,WH_C,West,2025-01-04,2025-01-06,5,1,1
500079,100070,SKU0084,WH_C,West,2025-01-04,2025-01-06,5,0,1
500080,100071,SKU0037,WH_C,West,2025-01-01,2025-01-03,2,4,1
500081,100072,SKU0029,WH_A,East,2025-01-04,2025-01-06,5,1,1
500082,100072,SKU0029,WH_A,East,2025-01-05,2025-01-07,6,0,1
500083,100073,SKU0008,WH_A,East,2025-01-01,2025-01-02,1,2,1
500084,100073,SKU0008,WH_A,East,2025-01-01,2025-01-02,1,2,1
500085,100074,SKU0064,WH_C,West,2025-01-02,2025-01-04,3,7,1
500086,100075,SKU0100,WH_C,West,2025-01-02,2025-01-05,4,1,1
500087,100075,SKU0100,WH_C,West,2025-01-04,2025-01-05,4,1,1
500088,100076,SKU0067,WH_B,Central,2025-01-01,2025-01-03,2,3,1
500089,100077,SKU0037,WH_A,East,2025-01-01,2025-01-02,1,1,1
500090,100078,SKU0026,WH_C,West,2025-01-02,2025-01-05,4,7,1
500091,100079,SKU0037,WH_C,West,2025-01-03,2025-01-08,7,1,0
500092,100080,SKU0037,WH_B,Central,2025-01-01,2025-01-07,6,1,0
500093,100081,SKU0007,WH_C,West,2025-01-01,2025-01-05,4,1,0
500094,100082,SKU0081,WH_A,East,2025-01-01,2025-01-06,5,1,0
500095,100083,SKU0076,WH_A,East,2025-01-01,2025-01-04,3,1,1
500096,100084,SKU0098,WH_B,Central,2025-01-01,2025-01-03,2,2,1
500097,100085,SKU0018,WH_A,East,2025-01-01,2025-01-04,3,12,1
500098,100086,SKU0068,WH_A,East,2025-01-01,2025-01-03,2,2,1
500099,100087,SKU0061,WH_C,West,2025-01-01,2025-01-03,2,5,1
500100,100088,SKU0052,WH_A,East,2025-01-01,2025-01-03,2,2,1
500101,100089,SKU0099,WH_C,West,2025-01-04,2025-01-09,8,2,0
500102,100090,SKU0012,WH_A,East,2025-01-01,2025-01-02,1,1,1
500103,100090,SKU0012,WH_A,East,2025-01-01,2025-01-05,4,0,0
500104,100091,SKU0022,WH_B,Central,2025-01-01,2025-01-02,1,1,1
500105,100092,SKU0022,WH_C,West,2025-01-01,2025-01-05,4,5,0
500106,100093,SKU0065,WH_C,West,2025-01-04,2025-01-07,6,1,1
500107,100094,SKU0035,WH_C,West,2025-01-03,2025-01-05,4,1,1
500108,100095,SKU0082,WH_A,East,2025-01-02,2025-01-05,4,1,1
500109,100096,SKU0099,WH_C,West,2025-01-01,2025-01-02,1,1,1
500110,100097,SKU0043,WH_C,West,2025-01-02,2025-01-03,2,1,1
500111,100098,SKU0001,WH_C,West,2025-01-01,2025-01-04,3,6,1
500112,100099,SKU0052,WH_C,West,2025-01-02,2025-01-06,5,1,0
500113,100099,SKU0052,WH_C,West,2025-01-01,2025-01-02,1,0,1
500114,100100,SKU0025,WH_C,West,2025-01-01,2025-01-02,1,2,1
500115,100100,SKU0025,WH_C,West,2025-01-01,2025-01-02,1,1,1
500116,100101,SKU0051,WH_C,West,2025-01-01,2025-01-02,1,1,1
500117,100101,SKU0051,WH_C,West,2025-01-01,2025-01-03,2,2,1
500118,100102,SKU0046,WH_A,East,2025-01-02,2025-01-03,2,10,1
500119,100103,SKU0008,WH_C,West,2025-01-02,2025-01-03,2,1,1
500120,100104,SKU0026,WH_A,East,2025-01-05,2025-01-06,5,2,1
500121,100105,SKU0068,WH_B,Central,2025-01-03,2025-01-04,3,1,1
500122,100106,SKU0051,WH_C,West,2025-01-04,2025-01-08,7,2,0
500123,100107,SKU0002,WH_C,West,2025-01-01,2025-01-03,2,1,1
500124,100108,SKU0054,WH_C,West,2025-01-01,2025-01-02,1,2,1
500125,100109,SKU0067,WH_A,East,2025-01-01,2025-01-03,2,5,1
500126,100110,SKU0035,WH_C,West,2025-01-01,2025-01-03,2,10,1
500127,100111,SKU0077,WH_B,Central,2025-01-02,2025-01-04,3,2,1
500128,100112,SKU0036,WH_A,East,2025-01-01,2025-01-03,2,2,1
500129,100113,SKU0041,WH_A,East,2025-01-01,2025-01-02,1,2,1
500130,100113,SKU0041,WH_A,East,2025-01-02,2025-01-03,2,1,1
500131,100114,SKU0063,WH_B,Central,2025-01-01,2025-01-05,4,1,0
500132,100115,SKU0010,WH_C,West,2025-01-04,2025-01-08,7,8,0
500133,100116,SKU0073,WH_C,West,2025-01-01,2025-01-02,1,6,1
500134,100117,SKU0046,WH_B,Central,2025-01-02,2025-01-08,7,3,0
500135,100118,SKU0016,WH_A,East,2025-01-01,2025-01-06,5,1,0
500136,100119,SKU0001,WH_A,East,2025-01-02,2025-01-09,8,1,0
500137,100120,SKU0054,WH_B,Central,2025-01-01,2025-01-03,2,2,1
500138,100121,SKU0023,WH_C,West,2025-01-01,2025-01-04,3,12,1
500139,100122,SKU0079,WH_A,East,2025-01-02,2025-01-07,6,2,0
500140,100123,SKU0084,WH_A,East,2025-01-03,2025-01-04,3,2,1
500141,100124,SKU0002,WH_A,East,2025-01-01,2025-01-03,2,1,1
500142,100125,SKU0068,WH_A,East,2025-01-05,2025-01-07,6,1,1
500143,100126,SKU0099,WH_C,West,2025-01-02,2025-01-03,2,1,1
500144,100127,SKU0074,WH_A,East,2025-01-02,2025-01-03,2,2,1
500145,100128,SKU0058,WH_C,West,2025-01-02,2025-01-06,5,1,0
500146,100129,SKU0005,WH_B,Central,2025-01-01,2025-01-03,2,1,1
500147,100129,SKU0005,WH_B,Central,2025-01-05,2025-01-06,5,0,1
500148,100130,SKU0050,WH_A,East,2025-01-01,2025-01-03,2,4,1
500149,100131,SKU0086,WH_C,West,2025-01-03,2025-01-05,4,1,1
500150,100132,SKU0059,WH_C,West,2025-01-02,2025-01-03,2,3,1
500151,100133,SKU0024,WH_A,East,2025-01-04,2025-01-05,4,5,1
500152,100134,SKU0074,WH_B,Central,2025-01-01,2025-01-03,2,1,1
500153,100135,SKU0095,WH_C,West,2025-01-01,2025-01-03,2,1,1
500154,100136,SKU0016,WH_B,Central,2025-01-02,2025-01-06,5,1,0
500155,100137,SKU0003,WH_A,East,2025-01-01,2025-01-03,2,3,1
500156,100138,SKU0037,WH_C,West,2025-01-01,2025-01-02,1,1,1
500157,100139,SKU0071,WH_C,West,2025-01-03,2025-01-04,3,1,1
500158,100140,SKU0073,WH_B,Central,2025-01-01,2025-01-02,1,2,1
500159,100141,SKU0015,WH_B,Central,2025-01-01,2025-01-02,1,1,1
500160,100142,SKU0061,WH_B,Central,2025-01-01,2025-01-04,3,2,1
500161,100142,SKU0061,WH_B,Central,2025-01-01,2025-01-05,4,1,0
500162,100143,SKU0080,WH_C,West,2025-01-01,2025-01-03,2,1,1
500163,100144,SKU0045,WH_C,West,2025-01-01,2025-01-03,2,12,1
500164,100145,SKU0084,WH_C,West,2025-01-01,2025-01-02,1,1,1
500165,100146,SKU0060,WH_B,Central,2025-01-01,2025-01-03,2,1,1
500166,100147,SKU0078,WH_A,East,2025-01-01,2025-01-04,3,1,1
500167,100148,SKU0003,WH_C,West,2025-01-01,2025-01-02,1,1,1
500168,100149,SKU0008,WH_B,Central,2025-01-01,2025-01-03,2,1,1
500169,100150,SKU0051,WH_C,West,2025-01-05,2025-01-07,6,1,1
500170,100150,SKU0051,WH_C,West,2025-01-01,2025-01-02,1,0,1
500171,100151,SKU0055,WH_B,Central,2025-01-02,2025-01-03,2,4,1
500172,100152,SKU0019,WH_C,West,2025-01-02,2025-01-07,6,2,0
500173,100153,SKU0095,WH_A,East,2025-01-02,2025-01-04,3,4,1
500174,100154,SKU0085,WH_B,Central,2025-01-02,2025-01-04,3,7,1
500175,100155,SKU0019,WH_C,West,2025-01-01,2025-01-04,3,2,1
500176,100156,SKU0051,WH_B,Central,2025-01-01,2025-01-03,2,1,1
500177,100157,SKU0052,WH_A,East,2025-01-01,2025-01-02,1,4,1
500178,100158,SKU0086,WH_B,Central,2025-01-03,2025-01-04,3,1,1
500179,100159,SKU0057,WH_C,West,2025-01-03,2025-01-09,8,13,0
500180,100160,SKU0064,WH_B,Central,2025-01-03,2025-01-04,3,1,1
500181,100161,SKU0077,WH_B,Central,2025-01-03,2025-01-05,4,1,1
500182,100162,SKU0041,WH_C,West,2025-01-01,2025-01-02,1,1,1
500183,100162,SKU0041,WH_C,West,2025-01-01,2025-01-02,1,0,1
500184,100163,SKU0070,WH_A,East,2025-01-01,2025-01-08,7,1,0
500185,100164,SKU0046,WH_A,East,2025-01-03,2025-01-06,5,3,1
500186,100165,SKU0087,WH_A,East,2025-01-01,2025-01-02,1,1,1
500187,100166,SKU0032,WH_C,West,2025-01-01,2025-01-04,3,1,1
500188,100166,SKU0032,WH_C,West,2025-01-04,2025-01-08,7,1,0
500189,100167,SKU0065,WH_A,East,2025-01-03,2025-01-04,3,2,1
500190,100168,SKU0021,WH_A,East,2025-01-01,2025-01-02,1,2,1
500191,100169,SKU0010,WH_B,Central,2025-01-01,2025-01-04,3,6,1
500192,100170,SKU0064,WH_B,Central,2025-01-03,2025-01-04,3,16,1
500193,100171,SKU0053,WH_C,West,2025-01-03,2025-01-04,3,1,1
500194,100171,SKU0053,WH_C,West,2025-01-02,2025-01-04,3,0,1
500195,100172,SKU0006,WH_B,Central,2025-01-01,2025-01-04,3,1,1
500196,100173,SKU0088,WH_B,Central,2025-01-01,2025-01-03,2,1,1
500197,100174,SKU0004,WH_B,Central,2025-01-02,2025-01-03,2,1,1
500198,100175,SKU0099,WH_C,West,2025-01-03,2025-01-07,6,2,0
500199,100176,SKU0005,WH_B,Central,2025-01-01,2025-01-03,2,1,1
500200,100177,SKU0090,WH_C,West,2025-01-01,2025-01-03,2,1,1
500201,100177,SKU0090,WH_C,West,2025-01-02,2025-01-03,2,0,1
500202,100178,SKU0089,WH_C,West,2025-01-03,2025-01-04,3,1,1
500203,100178,SKU0089,WH_C,West,2025-01-01,2025-01-04,3,0,1
500204,100179,SKU0021,WH_A,East,2025-01-02,2025-01-09,8,1,0
500205,100180,SKU0040,WH_A,East,2025-01-03,2025-01-04,2,4,1
500206,100181,SKU0054,WH_B,Central,2025-01-05,2025-01-07,5,1,1
500207,100182,SKU0050,WH_B,Central,2025-01-04,2025-01-05,3,1,1
500208,100183,SKU0005,WH_A,East,2025-01-02,2025-01-05,3,4,1
500209,100184,SKU0080,WH_C,West,2025-01-02,2025-01-03,1,1,1
500210,100185,SKU0078,WH_A,East,2025-01-03,2025-01-04,2,4,1
500211,100186,SKU0048,WH_B,Central,2025-01-02,2025-01-04,2,10,1
500212,100187,SKU0058,WH_A,East,2025-01-04,2025-01-05,3,3,1
500213,100188,SKU0055,WH_B,Central,2025-01-03,2025-01-04,2,2,1
500214,100189,SKU0068,WH_A,East,2025-01-02,2025-01-04,2,4,1
500215,100190,SKU0019,WH_C,West,2025-01-03,2025-01-04,2,1,1
500216,100191,SKU0076,WH_B,Central,2025-01-02,2025-01-04,2,8,1
500217,100192,SKU0018,WH_C,West,2025-01-04,2025-01-08,6,3,0
500218,100193,SKU0065,WH_C,West,2025-01-02,2025-01-04,2,1,1
500219,100194,SKU0062,WH_B,Central,2025-01-03,2025-01-07,5,2,0
500220,100194,SKU0062,WH_B,Central,2025-01-02,2025-01-04,2,6,1
500221,100195,SKU0093,WH_C,West,2025-01-04,2025-01-05,3,1,1
500222,100195,SKU0093,WH_C,West,2025-01-02,2025-01-04,2,0,1
500223,100196,SKU0009,WH_B,Central,2025-01-05,2025-01-08,6,6,1
500224,100197,SKU0099,WH_B,Central,2025-01-02,2025-01-03,1,1,1
500225,100197,SKU0099,WH_B,Central,2025-01-03,2025-01-04,2,0,1
500226,100198,SKU0043,WH_B,Central,2025-01-02,2025-01-04,2,12,1
500227,100199,SKU0100,WH_B,Central,2025-01-02,2025-01-03,1,1,1
500228,100200,SKU0058,WH_B,Central,2025-01-03,2025-01-06,4,1,1
500229,100201,SKU0045,WH_B,Central,2025-01-03,2025-01-07,5,1,0
500230,100202,SKU0014,WH_C,West,2025-01-02,2025-01-03,1,3,1
500231,100202,SKU0014,WH_C,West,2025-01-02,2025-01-03,1,1,1
500232,100203,SKU0003,WH_A,East,2025-01-04,2025-01-06,4,1,1
500233,100204,SKU0096,WH_C,West,2025-01-02,2025-01-04,2,1,1
500234,100205,SKU0077,WH_A,East,2025-01-02,2025-01-03,1,3,1
500235,100206,SKU0066,WH_A,East,2025-01-02,2025-01-04,2,1,1
500236,100207,SKU0039,WH_B,Central,2025-01-02,2025-01-04,2,1,1
500237,100207,SKU0039,WH_B,Central,2025-01-03,2025-01-04,2,0,1
500238,100208,SKU0053,WH_A,East,2025-01-04,2025-01-05,3,6,1
500239,100209,SKU0034,WH_C,West,2025-01-02,2025-01-04,2,5,1
500240,100209,SKU0034,WH_C,West,2025-01-05,2025-01-06,4,1,1
500241,100210,SKU0094,WH_A,East,2025-01-03,2025-01-06,4,9,1
500242,100211,SKU0096,WH_A,East,2025-01-03,2025-01-04,2,1,1
500243,100212,SKU0081,WH_B,Central,2025-01-03,2025-01-04,2,1,1
500244,100213,SKU0038,WH_C,West,2025-01-02,2025-01-05,3,1,1
500245,100213,SKU0038,WH_C,West,2025-01-03,2025-01-08,6,0,0
500246,100214,SKU0022,WH_A,East,2025-01-02,2025-01-04,2,1,1
500247,100215,SKU0038,WH_C,West,2025-01-02,2025-01-04,2,1,1
500248,100216,SKU0015,WH_C,West,2025-01-02,2025-01-04,2,1,1
500249,100217,SKU0024,WH_B,Central,2025-01-02,2025-01-05,3,2,1
500250,100218,SKU0015,WH_A,East,2025-01-02,2025-01-04,2,1,1
500251,100219,SKU0100,WH_B,Central,2025-01-04,2025-01-05,3,2,1
500252,100220,SKU0074,WH_C,West,2025-01-02,2025-01-04,2,1,1
500253,100221,SKU0048,WH_A,East,2025-01-03,2025-01-05,3,1,1
500254,100222,SKU0005,WH_B,Central,2025-01-02,2025-01-09,7,1,0
500255,100223,SKU0044,WH_C,West,2025-01-03,2025-01-06,4,2,1
500256,100224,SKU0024,WH_C,West,2025-01-02,2025-01-04,2,4,1
500257,100225,SKU0053,WH_C,West,2025-01-06,2025-01-08,6,1,1
500258,100226,SKU0017,WH_A,East,2025-01-02,2025-01-08,6,1,0
500259,100226,SKU0017,WH_A,East,2025-01-03,2025-01-04,2,1,1
500260,100227,SKU0055,WH_A,East,2025-01-03,2025-01-04,2,1,1
500261,100228,SKU0046,WH_C,West,2025-01-03,2025-01-07,5,4,0
500262,100228,SKU0046,WH_C,West,2025-01-03,2025-01-05,3,4,1
500263,100229,SKU0003,WH_B,Central,2025-01-04,2025-01-09,7,1,0
500264,100230,SKU0048,WH_C,West,2025-01-02,2025-01-04,2,1,1
500265,100231,SKU0084,WH_C,West,2025-01-06,2025-01-07,5,4,1
500266,100232,SKU0073,WH_B,Central,2025-01-02,2025-01-04,2,5,1
500267,100233,SKU0046,WH_C,West,2025-01-02,2025-01-03,1,2,1
500268,100234,SKU0077,WH_A,East,2025-01-03,2025-01-04,2,1,1
500269,100234,SKU0077,WH_A,East,2025-01-03,2025-01-04,2,3,1
